これ,esto
それ,eso
あれ,aquello
この,esto s
その,eso s
あの,aquello s
ほん,libro
じしょ,diccionario
ざっし,revista
しんぶん,periodico
ノート,libreta
てちょう,agenda
めいし,tarjeta personal
カード,tarjeta
えんぴつ,lapiz
ボールペン,boligrafo
シャープペンシル,portaminas
かぎ,llaves
とけい,reloj
かさ,paraguas
かばん,bolso
テレビ,television
ラジオ,radio
カメラ,camara
コンピューター,conutadora
くるま,carro
つくえ,lapiz
いす,silla
チョコレート,chocolate
コーヒー,cafe
おみやげ,recuerdo
えいご,ingles
にほんご,japones
なん,que
どうぞ,tome
どうもありがとうございます,muchas gracias
そうですか,ya
ちがいます,incorrecto
これからおせわになります,le agradezco de antemano su gentil apoyo
こちらこそどうぞよろしくおねがいします,yo tambien estoy encantado de conocerlo
